Community District,Geography ID,,,,,,
Bronx 1,201,,,,,,
Bronx 2,202,,,,,,
Bronx 3,203,,,,,1,
Bronx 4,204,,,,,2,
Bronx 5,205,,,,,3,
Bronx 6,206,,,,,4,
Bronx 7,207,,,,,5,
Bronx 8,208,,,,,6,
Bronx 9,209,,,,,7,
Bronx 10,210,,,,,8,
Bronx 11,211,,,,,9,
Bronx 12,212,,,,,10,
Brooklyn 1,301,,,,,11,
Brooklyn 2,302,,,,,12,
Brooklyn 3,303,,,,,13,
Brooklyn 4,304,,,,,14,
Brooklyn 5,305,,,,,15,
Brooklyn 6,306,,,,,16,
Brooklyn 7,307,,,,,17,
Brooklyn 8,308,,,,,18,
Brooklyn 9,309,,,,,19,
Brooklyn 10,310,,,,,20,
Brooklyn 11,311,,,,,21,
Brooklyn 12,312,,,,,22,
Brooklyn 13,313,,,,,23,
Brooklyn 14,314,,,,,,24
Brooklyn 15,315,,,,,,25
Brooklyn 16,316,,,,,,26
Brooklyn 17,317,,,,,,27
Brooklyn 18,318,,,,,,28
Manhattan 1,101,,,,,,29
Manhattan 2,102,,,,,,30
Manhattan 3,103,,,,,,31
Manhattan 4,104,,,,,,32
Manhattan 5,105,,,,,,33
Manhattan 6,106,,,,,,34
Manhattan 7,107,,,,,,35
Manhattan 8,108,,,,,,36
Manhattan 9,109,,,,,,37
Manhattan 10,110,,,,,,38
Manhattan 11,111,,,,,,39
Manhattan 12,112,,,,,,40
Queens 1,401,,,,,,41
Queens 2,402,,,,,,42
Queens 3,403,,,,,,43
Queens 4,404,,,,,,44
Queens 5,405,,,,,,45
Queens 6,406,,,,,,46
Queens 7,407,,,,,,47
Queens 8,408,,,,,,48
Queens 9,409,,,,,,49
Queens 10,410,,,,,,50
Queens 11,411,,,,,,51
Queens 12,412,,,,,,52
Queens 13,413,,,,,,53
Queens 14,414,,,,,,54
Staten Island 1,501,,,,,,55
Staten Island 2,502,,,,,,56
Staten Island 3,503,,,,,,57
,,58,,,,,
,,59,,,,,
,,"Showing 1 to 19 of 59 entries, 2 total columns",,,,,